t,cumulative_accuracy,cumulative_fixed_baseline_accuracy,cumulative_clinical_baseline_accuracy,cumulative_supervised_accuracy,cumulative_regret,cumulative_fixed_baseline_regret,cumulative_clinical_baseline_regret,cumulative_supervised_regret
174,0.03895520576064157,0.03891106387024776,0.0368688563306772,0.024665321568496452,6.8171610081122695,6.809436177293357,6.45204985786851,4.31643127448688
175,0.03907344072535,0.038487434610266144,0.036919164192130594,0.025561535552975134,6.876925567661606,6.773788491406846,6.497772897814985,4.498830257323621
176,0.038256819908260006,0.03856298431903956,0.03629175451059736,0.02463336851740604,6.771457123762019,6.825648224470005,6.423640548375729,4.360106227580869
177,0.03847068003748218,0.038942756911513166,0.03610052440217511,0.024898547628415573,6.847781046671827,6.931810730249348,6.42589334358717,4.431941477857972
178,0.038368307171181774,0.039096693107276016,0.03515093107676541,0.024604717119364995,6.867926983641533,6.998308066202409,6.292016662741013,4.404244364366334
179,0.037679611017362606,0.03859959229080334,0.034008751692511614,0.023451039786255307,6.78232998312527,6.9479266123446015,6.1215753046520875,4.2211871615259575
180,0.038539832793546315,0.0378510872321232,0.03410938467371311,0.0238796641743725,6.975709735631885,6.8510467890142985,6.173798625942071,4.322219215561424
181,0.03812544219418965,0.037748492389709176,0.03316405364841052,0.024220475092348672,6.938830479342512,6.870225614927067,6.035857764010714,4.4081264668074605
182,0.03754535602508644,0.037953356571610676,0.03299116688114444,0.022780363213627544,6.870800152590825,6.945464252604753,6.037383539249435,4.16880646809384
183,0.03680139741175007,0.03724960344647591,0.032334612822014996,0.022475721764803686,6.771457123762017,6.853927034151566,5.949568759250761,4.135532804723881
184,0.03684847564338542,0.03730471816830135,0.031385423188850334,0.022924809356036333,6.8169679940262995,6.9013728611357505,5.80630328993731,4.24108973086672
185,0.036558931721502576,0.036738466280917356,0.03173026043565327,0.02394705596333726,6.799961300199476,6.833354728250633,5.901828441031512,4.454152409180732
186,0.036521404082224,0.036500792644224615,0.03151166076151526,0.023970170095256885,6.829502563375893,6.825648224470003,5.892680562403357,4.482421807813037
